"","DOY_S","meanAT2","meanAT6","sum_R","rain_events","meanRH2","meanRH6","meanSWC5","sdSWC5","meanSWC15","meanSWC30","meanST5","meanST15","meanST30","meanNEE","meanGPP","meanRECO","sdReco"
"1",169,28.4227083333333,29.0204166666667,0,0,10.2955938631667,10.1509350493125,9.47916666666667,0.504852341308647,9.47916666666667,9.04166666666667,34.2729166666667,32.1333333333333,29.6,0.360764864394167,0.0822716931072917,0.443036557497917,0.401006381944638
"2",170,31.1616666666667,31.7860416666667,0,0,10.8019423407708,10.3449808074375,9.58333333333333,0.613095852883295,9.47916666666667,9.1875,35.55,33.0291666666667,30.1479166666667,0.355564486731667,0.0831895756604167,0.43875406239375,0.350290023240785
"3",171,32.1595833333333,32.4895833333333,0,0,16.47978575475,15.2993676526042,9.64583333333333,0.6010481388776,9.66666666666667,9.6875,37.5020833333333,34.575,31.1479166666667,0.441591618018125,0.135344867342292,0.57693648535625,0.489638182996343
"4",172,30.1022916666667,30.95625,6.35,2,22.0156161508333,19.3329769095833,9.39583333333333,0.49420399497827,9.33333333333333,9.79166666666667,33.0895833333333,32.69375,31.39375,0.390277567969167,0.432773140456667,0.82305070841875,0.848147385360175
"5",173,29.1889583333333,29.658125,0,0,28.1714879152083,25.9016279733333,9.97916666666667,0.910683244400162,9.04166666666667,9.125,31.7020833333333,29.6229166666667,29.6395833333333,1.02197168486917,0.0701391414729167,1.09211082633542,0.633204972638254
"6",174,29.2264583333333,29.66875,0,0,27.2329649595833,25.65930436,10.75,0.785507018807435,9.33333333333333,9.10416666666667,33.1333333333333,30.9833333333333,29.8479166666667,0.670389885905979,0.3627410765925,1.03313096245417,0.282899028237142
"7",175,30.6154166666667,31.0754166666667,0,0,19.9168613590208,18.5921845915625,10.7291666666667,0.676020374026768,9.41666666666667,9.22916666666667,34.1708333333333,32.1625,30.21875,0.841159299408333,0.618899063301042,1.460058362625,0.307666099614889
"8",176,26.5022916666667,27.0235416666667,25.654,2,36.5915993472917,34.429162389375,16.2708333333333,8.81183822524003,9.54166666666667,9.3125,31.1104166666667,31.0270833333333,30.5541666666667,1.07698990546458,0.632367271842083,1.7093571773125,0.836103305928092
"9",177,25.710625,26.3970833333333,1.651,1,39.2225425827083,36.6968901170833,23.125,0.815410091316803,15,9,26.025,26.08125,28.2083333333333,2.20722611385833,0.145342542008187,2.35256865585417,1.00710190393923
"10",178,27.5004166666667,28.161875,0,0,25.2079798533333,22.8240022979167,21.1666666666667,0.595491334175414,16.2708333333333,9.04166666666667,27.88125,26.7895833333333,27.425,1.4361089690625,0.271991581058333,1.70810055016667,0.411111714800384
"11",179,26.73125,27.2120833333333,0,0,29.0564934958333,27.4461539770833,19.6458333333333,0.668105716355541,15.5416666666667,9.33333333333333,28.8958333333333,28.2395833333333,28.075,1.10436245535522,0.297490533607292,1.401852989,0.274591584837839
"12",180,26.5141666666667,27.1372916666667,0,0,25.3132466523542,23.6758401925833,18.6875,0.748224849581939,14.75,10,30.05625,29.6208333333333,28.7125,0.708218095604792,0.4507872375125,1.1590053331625,0.252138560161753
"13",181,27.250625,28.2775,0,0,9.65002634485417,8.90616807352083,17.5833333333333,0.846352206080653,13.875,10.25,30.0875,30.1541666666667,29.0333333333333,0.325340286929167,0.57386437095,0.899204657847917,0.118064749570342
"14",182,29.0854166666667,29.9391666666667,0,0,7.81937327275,7.7574423583125,16.6458333333333,0.811868958437111,13.25,10.7291666666667,30.6020833333333,30.80625,29.2395833333333,0.437762830933188,0.4375014599,0.87526429081875,0.268419069836849
"15",183,25.9927083333333,26.8191666666667,0,0,25.1661503697917,23.3687606397917,15.625,0.672404386938744,12.6458333333333,10.9791666666667,29.775,30.4604166666667,29.525,0.186445355507938,0.633375226777292,0.819820582354167,0.179549713888516
"16",184,23.9095833333333,24.6739583333333,59.944,8,42.3695251897917,39.1370632714583,19.7916666666667,7.73485708881536,16.625,13.125,28.4083333333333,28.6104166666667,28.9395833333333,0.250794065914583,0.713105076380833,0.963899142254167,0.321030743686402
"17",185,25.8291666666667,26.3554166666667,0,0,39.8791099441667,37.2497872202083,25.375,1.53851268327425,26.8541666666667,22.2708333333333,26.16875,25.6395833333333,27,1.20051411942152,0.320532446412396,1.52104656583333,0.574762779510458
"18",186,26.9335416666667,27.5227083333333,0,0,32.5038172964583,29.7368530891667,22.1875,0.606919322340117,23.1666666666667,20.375,27.2979166666667,26.74375,26.8270833333333,0.571663620448333,1.09628963761458,1.6679532580625,0.415857266720377
"19",187,28.0495833333333,28.953125,0,0,31.0038752110417,27.7246296725,20.625,0.489246054790082,21.1875,19.7916666666667,29.5229166666667,28.4083333333333,27.79375,0.167981889011458,1.72660513723333,1.89458702627083,0.360961137082799
"20",188,28.1727083333333,28.7341666666667,0,0,25.648646215,23.4062983329167,19.2916666666667,0.54415006274018,19.25,19.0208333333333,30.4916666666667,29.5020833333333,28.66875,0.105086737842292,2.19087779655625,2.2959645344375,0.344005156584367
"21",189,27.1047916666667,27.5689583333333,0,0,34.5989582854167,32.5342814633333,18.25,0.525923706140778,17.3958333333333,18.375,30.8270833333333,30.0458333333333,29.18125,-0.0257812863104167,2.55221646186875,2.5264351755625,0.387297679492186
"22",190,23.9995833333333,24.91375,8.509,2,50.2329106391667,46.4783423389583,20.1666666666667,3.49061558512543,17.7916666666667,18,27.8395833333333,28.2729166666667,28.9979166666667,0.49037738437125,2.09784036321271,2.58821774758333,0.340821443442233
"23",191,22.0429166666667,22.7904166666667,2.159,5,63.2817508027083,59.246413746875,21.8333333333333,0.558620387730928,20.4583333333333,17.4166666666667,25.9770833333333,25.5979166666667,27.1916666666667,0.212766649385417,2.42190855136875,2.63467520075,0.503061868030955
