House,Plot,Winter,Summer
1,1,W3,S4
1,2,W2,S2
1,3,W3,S1
1,4,W1,S1
1,5,W1,S3
1,6,W3,S2
1,7,W2,S1
1,8,W1,S4
1,9,W1,S2
1,10,W2,S3
1,11,W3,S3
1,12,W2,S4
2,1,W1,S3
2,2,W2,S2
2,3,W2,S3
2,4,W1,S1
2,5,W2,S1
2,6,W3,S4
2,7,W1,S4
2,8,W1,S2
2,9,W3,S1
2,10,W3,S3
2,11,W3,S2
2,12,W2,S4
3,1,W1,S2
3,2,W3,S3
3,3,W1,S4
3,4,W3,S1
3,5,W3,S2
3,6,W2,S4
3,7,W3,S4
3,8,W1,S3
3,9,W2,S2
3,10,W2,S3
3,11,W1,S1
3,12,W2,S1
4,1,W3,S1
4,2,W2,S3
4,3,W2,S2
4,4,W1,S4
4,5,W3,S3
4,6,W1,S2
4,7,W2,S4
4,8,W2,S1
4,9,W3,S2
4,10,W1,S1
4,11,W3,S4
4,12,W1,S3
5,1,W2,S3
5,2,W3,S4
5,3,W2,S4
5,4,W3,S2
5,5,W3,S3
5,6,W1,S2
5,7,W1,S4
5,8,W1,S1
5,9,W2,S2
5,10,W2,S1
5,11,W1,S3
5,12,W3,S1